"","Fold.change","Gene"
"335",0.228878395751634,"TMEM26"
"336",0.482265637094275,"RNASEL"
"338",0.129341518751123,"TOMM40L"
"341",0.342206052965022,"CCDC104"
"342",0.42532228350769,"SLC4A7"
"348",0.217510238200996,"TMEM8A"
"349",0.0639727537632053,"SLC30A1"
"354",0.313539850865729,"ZNF354A"
"356",0.356955887264286,"FAM179B"
"358",0.098951965168939,"HRH2"
"360",0.189138523171559,"ABT1"
"362",0.320176428303983,"ARNTL"
"365",0.0451434440748759,"CIDEB"
"368",0.366945214591366,"SIVA1"
"369",0.0917954198077027,"ITFG2"
"371",0.391318268800199,"DLL1"
"372",0.0204507850548321,"PDDC1"
"378",0.321070599615265,"APLP1"
"380",0.284825908470387,"AMN1"
"383",0.579705319457132,"TNFRSF11B"
"385",0.177829201384629,"PRELID1"
"386",0.0239319057090484,"NDUFV2"
"387",0.506542203470675,"PLAC8L1"
"388",0.50761858079235,"ZNF649"
"390",0.198491310125343,"WDR91"
"391",0.453695011161202,"XKR8"
"393",0.251292714760865,"FAM26F"
"394",0.207660130979681,"CERK"
"395",0.0309676190692469,"TMEM242"
"396",0.433396688190168,"MANF"
"397",0.29723994748616,"IFNAR1"
"398",0.248182373116864,"ANXA1"
"399",0.172085902363591,"EMC4"
"401",0.249520542339106,"RAB7L1"
"403",0.11878456942429,"KIAA0922"
"408",0.337426022480118,"NMRK1"
"409",0.317687890244381,"MRPS5"
"410",0.294205366343424,"GDPD3"
"413",0.17807935583566,"SMARCAL1"
"415",0.195968557569943,"HELZ2"
"418",0.262331479140652,"SLC12A7"
"421",0.153985017892191,"HOOK3"
"424",0.434566908896693,"SLC35D2"
"426",0.321426368416589,"EIF2B1"
"429",0.461422804804265,"S100A1"
"431",0.143618572406762,"MX2"
"432",0.349851598452368,"CKLF"
"435",0.179054246917465,"CERS5"
"438",0.112330910797775,"DDX59"
"441",0.546400501163952,"CELF4"
"443",0.085388953936036,"ARCN1"
"446",0.312827508480778,"SSSCA1"
"447",0.103715523456401,"ILKAP"
"451",0.381209995037079,"NDUFA12"
"452",0.463106992332957,"MARK4"
"453",0.569361738484621,"KIAA1107"
"454",0.0840069610761347,"KLHL26"
"455",0.394655637386711,"DIO3"
"457",0.307787378411831,"TBC1D23"
"460",0.520071820035282,"CNIH3"
"462",0.203296724338318,"AC115618.1"
"463",0.413313822500988,"MBTPS2"
"469",0.491836154814823,"PIK3R4"
"470",0.535140896317847,"NOMO3"
"471",0.398438812445429,"EIF4A2"
"474",0.429691978397636,"RNF32"
"479",0.174746547530982,"PCP4L1"
"481",0.0459735322815078,"SMCHD1"
"483",0.53480666717244,"ACAT2"
"485",0.296761968508832,"AGPAT3"
"487",0.00929365172048158,"CRLF3"
"488",0.0539770076316799,"ZFP14"
"489",0.0183856852582434,"VPS41"
"492",0.242948333078175,"RALBP1"
"493",0.321171797693538,"SLC25A41"
"494",0.258319795978554,"HERPUD2"
"495",0.390068528799963,"ZNF596"
"496",0.216343437837693,"NFU1"
"499",0.407881669436112,"ZBTB8A"
"500",0.505196289098558,"NFXL1"
"501",0.44444083123294,"CTU2"
"503",0.411162820050574,"PPP3R1"
"505",0.206320674682852,"AMMECR1L"
"507",0.0390766997756753,"FAM153A"
"509",0.402537787856559,"UBE2J1"
"510",0.32687831124187,"PIP5K1A"
"511",0.395950339137036,"PSMA5"
"512",0.212165221451344,"ZNF257"
"513",0.287820290451412,"CXorf56"
"514",0.568091375628315,"RRP15"
"517",0.129917363812492,"RPS20"
"518",0.158959596495182,"ZBED6"
"519",0.576367827681907,"RAD51D"
"523",0.380104200510354,"ADAMTS19"
"524",0.287960853637415,"RPUSD4"
"525",0.490724006894068,"MRPS7"
"526",0.290783147861616,"PRRC2B"
"529",0.107190643284037,"MINOS1"
"532",0.0263350979660704,"DPP9"
"533",0.16811641347432,"AC023590.1"
"535",0.148644087976523,"GPATCH8"
"536",0.310581334415609,"MRPS31"
"539",0.362117499457656,"PLA2G7"
"540",0.152702992793997,"ZNF503"
"541",0.56411758295102,"RPS17"
"542",0.00934709878677609,"ZMIZ2"
"544",0.356280622266083,"PSPN"
"547",0.401864868959111,"TBC1D4"
"548",0.246780260005979,"ADAR"
"549",0.172539503845258,"MTPN"
"551",0.262886833762875,"MTR"
"553",0.155253803491988,"LAMTOR3"
"556",0.506287428947958,"TULP4"
"557",0.438835653295419,"LENG8"
"561",0.143861450575201,"C1orf43"
"563",0.293919209712268,"ARSA"
"564",0.389953896108633,"FAM102B"
"567",0.0526495723325677,"LAMTOR4"
"569",0.503442400719307,"NPIPA8"
"570",0.298733605192821,"KIF5B"
"571",0.400466916165942,"SYNE4"
"572",0.254060974960224,"SNN"
"574",0.127958327543155,"CAMKK1"
"575",0.514612287972962,"PSMB7"
"576",0.516433747740219,"UBE2H"
"579",0.0155912908423579,"ERC1"
"584",0.290692701677541,"FAM163B"
"585",0.428040959577361,"RGS8"
"586",0.169841060601805,"SLC6A3"
"592",0.407728645649092,"SEPN1"
"593",0.517461777555167,"SYT3"
"594",0.151376495031819,"PEX3"
"597",0.346973461888007,"NPL"
"598",0.247000813049432,"CIAPIN1"
"600",0.0686538576695126,"ZFX"
"601",0.0871089474103499,"DNAJB1"
"602",0.127482866118564,"TRIP11"
"603",0.369736573778995,"EIF3E"
"604",0.385665956117576,"SDAD1"
"606",0.361119605643101,"PLB1"
"607",0.279235546460134,"MAP3K4"
"614",0.0711353046167345,"ZNF516"
"615",0.456071074641796,"ZNRD1"
"622",0.113746526167808,"MID2"
"623",0.152922192846866,"ZNF177"
"626",0.0294675746943565,"C16orf58"
"628",0.401226061307536,"GINM1"
"629",0.551723680756941,"APOBEC3C"
"630",0.0687980123138008,"PSENEN"
"635",0.126740431682006,"FLJ27365"
"637",0.122579156222881,"CDH26"
"641",0.17727189211605,"NPRL3"
"642",0.449411556211972,"S1PR3"
"645",0.501140042556019,"RPL21"
"646",0.268476155574566,"ISLR"
"648",0.535826293817792,"EVC"
"649",0.392145490620954,"CEP57L1"
"654",0.356718857389451,"SH3YL1"
"656",0.402042547578306,"MTMR2"
"657",0.119111912007391,"RAB39A"
"659",0.0315304918610222,"ZNF568"
"661",0.544418466546032,"MAP3K7"
"665",0.536912336606427,"LCN2"
"666",0.227145743867121,"PNOC"
"667",0.518738467107479,"DNM2"
"669",0.310507998185889,"FAM195B"
"670",0.253022896837846,"RNF8"
"671",0.497836259569572,"ALMS1"
"672",0.155424015438976,"CYP7B1"
"673",0.584601999552758,"TRIQK"
"674",0.164221370397735,"SLC25A3"
"675",0.485676092671008,"P2RX4"
"676",0.0944910022040428,"PPM1A"
"678",0.518572827915907,"ACTN1"
"679",0.319500148319655,"C15orf61"
"682",0.568432789329446,"ACTR1A"
"687",0.252962334007227,"ANKRD54"
"689",0.187705734290816,"RNF4"
"690",0.0603517904011586,"GRAMD4"
"691",0.360794116619684,"ASB6"
"694",0.284092522081687,"OTUD7A"
"704",0.309014747398331,"INHBA"
"705",0.390688662353503,"DDX39B"
"707",0.259275263628477,"C22orf26"
"708",0.514085361685495,"FH"
"715",0.350144395867806,"TNFAIP1"
"717",0.364883320184425,"CHRAC1"
"719",0.284129257251564,"OSBPL1A"
"721",0.245257008499197,"ELL"
"724",0.222733006898229,"PDCL"
"726",0.410869832547403,"KHDRBS1"
"731",0.317980936839699,"BMF"
"738",0.493290567760008,"C2orf49"
