"","TCGA.22.5478","TCGA.22.5472","TCGA.60.2709","TCGA.22.5489","TCGA.22.5471","TCGA.22.5482","TCGA.22.5483","TCGA.43.3394","TCGA.34.7107","TCGA.43.6771","TCGA.22.5491","TCGA.33.6737","TCGA.90.6837"
"KHDRBS3",423.61,175.07,128.79,1304.15,76.17,143.01,111.99,113.56,88.88,96.68,75.11,119.26,327.56
"FAM208B",258.57,366.09,339.14,470.14,265.87,214.27,486.75,295.11,785.88,366.09,460.44,336.79,607.87
"KDM5B",665.29,947.83,480.04,728.11,256.78,559.28,412,420.68,518.15,1286.18,447.82,514.56,896.64
"KLF12",19.11,33.54,110.43,115.16,17.38,78.89,43.63,59.13,98.04,39.5,24.81,23.76,356.05
"ZNF367",40.07,76.17,70.51,126.12,94.67,137.14,414.87,172.65,285.03,26.47,126.12,72.01,45.85
"AP000783.1",2.97,1.95,7.34,12.27,2.84,1.3,5.63,0.95,2.12,3.5,2.86,75.11,6.62
"ARMC3",40.07,72.52,4.9,9.56,3.69,0.77,13.52,18.43,0,0.91,57.49,2.48,0.04
"APC2",3.26,2.94,1.43,1.48,2.18,4.06,3.23,1.33,10.63,3.03,2.18,2.14,18.29
"CREB3L3",0.31,0.61,0.36,2.56,0.29,0.32,0.3,0,1.33,0,1.16,1.69,0.72
"GPR114",21.32,17.38,31.67,65.26,34.26,7.06,9.7,7.11,13.22,6.89,7.63,12.83,35.76
"FAM21C",275.28,339.14,358.54,255,193.01,198.47,260.38,151.22,444.72,269.6,145.02,283.05,223.41
"HBCBP",1.08,2.92,0,6.31,0,1.13,1.79,1.53,1.58,0,1.03,5.82,0
"SMAP1",500.46,543.96,497,444.72,420.68,647.07,669.92,612.11,450.94,476.71,463.65,836.53,329.84
"RSPH10B2",22.92,40.07,2.86,2.97,3.44,0.41,4.5,1.95,1.71,0,14.78,0.45,1.16
"CREB3L4",351.14,460.44,283.05,656.11,314.17,231.32,361.04,974.5,493.56,132.44,376.41,265.87,242.88
"PEX14",447.82,417.77,426.57,379.04,267.73,363.56,273.37,264.03,295.11,381.68,281.09,460.44,444.72
"PPM1J",63.89,214.27,40.07,41.22,36.53,177.53,28.04,193.01,60.82,90.14,128.79,29.91,132.44
"ACSL4",332.14,536.45,454.09,698.41,264.03,224.97,460.44,435.55,536.45,334.46,217.27,567.1,145.02
"GDPD1",57.49,52.82,38.4,21.94,24.99,11.47,36.01,72.52,19.11,13.93,55.1,28.86,27.25
"WDR37",126.12,248,149.12,118.43,74.58,151.22,104.42,152.28,217.27,133.36,120.94,111.21,281.09
"DLGAP3",8.25,3.08,3.92,12.09,8.19,3.89,2.03,4.66,7.28,4.78,7.94,4.13,3.14
"NUPR1L",420.68,14.67,7.82,53.19,14.45,10.71,18.29,84.63,2.43,0,26.28,12.55,6.26
"TFAP4",267.73,368.65,403.5,336.79,728.11,1662.49,400.71,287.01,1208.34,205.5,603.67,228.13,309.83
"TPT1",41763.8,68793.23,78476.96,64632.75,67846.12,69271.73,55107.99,135693.24,59063.35,131071,85283.74,118127.7,61146.25
"SPATA4",10.31,17.38,6.67,4.21,0,0.01,5.36,6.26,0,0.62,18.43,0,0.33
"SCLY",264.03,199.85,264.03,414.87,291.04,194.36,332.14,208.38,307.69,127,241.19,181.28,133.36
"DACT2",4.1,48.87,24.46,120.94,82.29,166.73,262.2,113.56,100.83,1.89,24.11,145.02,0.93
"C14orf64",4.94,35.5,25.35,69.52,201.25,28.04,5.45,10.79,24.46,31.45,27.84,24.11,5.73
"PARP6",1268.46,780.44,1295.13,1088.92,1242.34,1191.69,743.43,902.89,713.11,836.53,438.59,1143.1,1225.22
"SLC9A6",166.73,175.07,194.36,131.51,156.59,144.01,177.53,145.02,373.81,134.3,146.03,98.73,82.29
"ZNF569",30.56,40.07,33.78,86.43,41.81,30.56,51.71,72.01,45.21,20.26,15.45,56.28,56.68
"CTD-3138B18.4",0.59,1.2,1.73,2.51,0.57,0.62,1.19,0,1.31,0.36,0.85,1.68,1.39
"PRX",75.11,120.94,54.33,41.81,8.38,15.68,29.06,56.68,43.32,33.3,12.74,50.98,45.85
