"","TCGA.22.5478","TCGA.22.5472","TCGA.60.2709","TCGA.22.5489","TCGA.22.5471","TCGA.22.5482","TCGA.22.5483","TCGA.43.3394","TCGA.34.7107","TCGA.43.6771","TCGA.22.5491","TCGA.33.6737","TCGA.90.6837"
"HIST3H2A",703.28,287.01,70.51,145.02,397.93,463.65,242.88,403.5,454.09,16.51,718.08,197.09,106.63
"LIN7B",102.25,212.78,244.57,105.89,258.57,249.73,215.77,173.85,136.19,153.34,435.55,165.57,395.18
"LXN",271.48,759.08,620.67,329.84,587.13,400.71,287.01,830.75,463.65,81.14,285.03,414.87,503.95
"CNKSR2",45.85,6.16,11.91,12.27,1.38,4.31,9.2,25.72,6.41,0,8.85,6.52,1.66
"SCML1",67.12,57.89,132.44,66.65,336.79,94.67,134.3,202.66,224.97,84.63,417.77,61.68,53.57
"AC024592.12",16.88,63.45,23.08,46.5,38.95,34.75,31.67,44.89,51.71,62.56,63.89,26.1,21.63
"GSDMD",1674.06,1685.71,2133.97,2451.44,1467.37,974.5,713.11,1313.23,836.53,1096.5,830.75,1175.27,1208.34
"AKR1C1",1023,1242.34,40621.74,660.68,5366.37,45386.27,62865.33,35363.15,39510.91,813.63,17437.64,39785.74,656.11
"C3orf62",59.97,100.83,112.77,52.08,79.45,52.82,33.54,62.56,111.99,89.51,66.18,42.11,167.9
"CRISPLD2",518.15,220.32,1015.93,1059.11,241.19,291.04,483.38,211.31,1135.2,674.59,85.22,599.49,1023
"DOCK5",108.9,198.47,120.1,118.43,20.86,148.09,103.69,38.12,186.4,135.24,31.9,723.08,155.5
"SLC33A1",473.41,642.59,547.75,813.63,902.89,1081.39,624.99,518.15,563.18,332.14,915.51,525.39,500.46
"GLI1",21.63,31.9,169.07,24.11,53.57,181.28,87.65,32.59,106.63,78.89,44.25,21.32,92.05
"STK17B",320.8,371.22,336.79,633.73,256.78,289.02,248,316.37,283.05,299.25,189.02,237.86,242.88
"RP5-966M1.6",6.11,6.62,30.56,11.82,6.78,6.84,7.51,10.47,13.42,4.66,5.87,6.67,17.51
"VPS52",665.29,1066.48,934.76,934.76,872.1,1277.29,915.51,872.1,785.88,928.3,591.22,1159.07,1051.79
"HAGHL",88.88,161.02,232.94,116.78,144.01,82.29,193.01,187.71,281.09,177.53,89.51,281.09,301.33
"CDC37L1",141.02,151.22,201.25,215.77,114.36,157.68,166.73,177.53,417.77,329.84,173.85,170.25,180.02
"KRT10",563.18,1208.34,356.05,224.97,521.76,497,412,638.15,334.46,414.87,6121.9,423.61,341.51
"AEN",285.03,309.83,287.01,285.03,231.32,318.57,395.18,490.14,246.28,400.71,438.59,299.25,612.11
"CYHR1",1407.55,1073.91,1030.12,1096.5,915.51,1127.35,738.29,915.51,854.13,595.34,967.76,1685.71,1037.29
"VWA1",3443.31,1427.22,819.3,507.46,612.11,967.76,500.46,473.41,406.31,1498.22,450.94,1066.48,813.63
"EXOSC9",480.04,332.14,525.39,389.72,483.38,426.57,559.28,466.88,316.37,297.17,348.71,532.74,327.56
"TNFAIP8L2",94.01,146.03,228.13,172.65,197.09,44.25,82.87,50.27,74.58,49.56,61.25,89.51,190.34
"PFDN2",3280.18,2434.5,3039.3,3467.27,6983.79,3901.01,4671.57,4388.98,3124.78,3614.55,3794.3,4328.55,4095
"TCP1",2591.27,3235.01,2835.7,2520.38,3168.41,7331.05,6840.04,5041.77,4388.98,3124.78,5219.6,5791.62,3901.01
"ALG9",409.15,476.71,409.15,435.55,463.65,470.14,426.57,447.82,358.54,334.46,406.31,363.56,575.03
"RPS15A",21617.82,41763.8,44145.15,67846.12,42641.37,37121.34,50359.33,67377.47,65082.31,46019.85,68318.04,57051.4,37121.34
"PMEL",137.14,24.99,36.79,36.53,54.33,17.9,24.46,90.14,39.79,18.7,67.59,22.43,23.76
"SFMBT1",167.9,94.01,114.36,101.54,79.45,61.68,110.43,129.69,155.5,140.04,90.14,75.11,69.52
"CYBA",2645.74,4607.24,9279.58,5913.33,6652.97,2047,4038.61,3190.46,3794.3,1304.15,5711.87,7803.01,8479.89
"GINS1",819.3,169.07,232.94,316.37,366.09,389.72,547.75,320.8,353.59,105.15,503.95,202.66,151.22
"GPX3",1295.13,4903.87,5791.62,2090.03,1628.26,3395.89,1572.76,1350.18,890.44,7695.57,723.08,10440.2,3372.43
"IPO9",1208.34,698.41,684.02,1088.92,896.64,629.35,1044.52,447.82,1030.12,656.11,551.56,860.08,860.08
"SHKBP1",1685.71,2148.82,2178.83,2090.03,1529.73,1340.84,1583.71,2720.15,2682.69,1909.85,1662.49,2777.33,2104.58
"ARHGAP40",8.92,60.82,11.91,1.64,38.95,12.27,2.12,15.22,3.5,37.32,5.87,71.5,16.03
"ENO3",267.73,96.01,159.9,169.07,198.47,181.28,249.73,454.09,145.02,41.81,41.52,128.79,125.24
"COX19",183.82,209.84,177.53,129.69,206.94,412,108.14,232.94,148.09,131.51,104.42,167.9,208.38
"LMF1",264.03,336.79,244.57,325.29,312,154.42,148.09,244.57,269.6,102.97,181.28,73.03,323.03
"S100P",2075.59,7032.37,483.38,339.14,607.87,314.17,8022.41,223.41,94.67,4671.57,12076.21,122293.5,1427.22
"RDH14",743.43,490.14,435.55,420.68,587.13,309.83,514.56,612.11,368.65,260.38,409.15,543.96,417.77
"GDE1",2224.63,2133.97,1175.27,896.64,890.44,591.22,1883.54,1015.93,1286.18,872.1,1417.35,872.1,1081.39
"LSM14B",915.51,872.1,825,769.69,981.29,595.34,1015.93,915.51,748.61,796.86,551.56,435.55,579.04
"TLE2",599.49,547.75,277.2,129.69,147.06,69.03,211.31,201.25,158.79,46.18,76.71,143.01,170.25
"ACOT8",1857.6,684.02,612.11,476.71,518.15,603.67,521.76,511,297.17,409.15,769.69,490.14,518.15
"EIF4EBP3",194.36,629.35,529.06,423.61,808,435.55,126.12,713.11,723.08,146.03,540.19,435.55,432.53
"LRP2BP",12.09,17.77,9.93,6.36,6.01,10.96,14.24,13.72,5.82,4.7,4.82,7.06,7.75
"PELO",277.2,199.85,327.56,291.04,289.02,281.09,361.04,318.57,244.57,307.69,176.29,483.38,323.03
"CDIPT",1832.01,2335.28,2193.99,1498.22,1950,1477.58,1388.16,1844.76,3665.02,2090.03,2090.03,1378.57,2627.46
"C19orf44",58.71,75.64,71.5,76.17,80.01,40.07,72.01,35.25,115.16,29.91,44.89,36.27,57.89
"PABPN1",2004.85,2047,2148.82,2555.58,3060.45,1628.26,2384.37,1467.37,2627.46,2555.58,1388.16,3901.01,2895.31
"NFKBIB",603.67,575.03,669.92,616.37,1096.5,555.41,454.09,688.78,587.13,547.75,753.83,708.18,748.61
"ZWINT",1015.93,791.35,616.37,579.04,1561.89,967.76,1259.69,656.11,1104.13,575.03,1407.55,1277.29,444.72
"DYNLL1",13123.73,11504.21,5872.48,8718.32,16383,12943.04,11112.3,12943.04,11189.6,17681.08,11584.24,13033.07,14867.79
"NRXN3",115.16,119.26,72.52,38.95,34.75,38.12,73.03,73.54,33.78,10,80.01,15.11,24.28
"FYTTD1",921.88,1199.98,1044.52,1457.23,1733.13,2468.49,884.29,1857.6,2701.35,1044.52,2287.2,642.59,921.88
"CAPRIN1",2178.83,2720.15,1909.85,3081.75,1340.84,2367.9,2148.82,2720.15,2319.15,1769.57,2451.44,2303.12,1806.78
"AOC3",341.51,624.99,1183.45,665.29,59.13,127.89,104.42,260.38,575.03,48.52,29.06,503.95,723.08
"KIFC3",332.14,470.14,642.59,283.05,271.48,967.76,314.17,316.37,376.41,954.43,77.25,753.83,1216.75
"DOCK11",51.71,65.26,125.24,85.82,39.79,45.21,150.17,69.03,163.28,49.21,27.05,40.64,73.54
"NENF",2255.7,1378.57,3060.45,2777.33,3564.78,2451.44,2018.8,2255.7,1977.24,1639.59,2061.24,2303.12,2090.03
"TMEM231",178.77,409.15,80.57,182.55,271.48,135.24,234.57,158.79,239.52,65.72,256.78,33.3,43.63
"DNAH17",27.64,23.93,32.13,555.41,447.82,32.36,8.19,265.87,228.13,109.66,32.82,62.56,126.12
"DCHS1",132.44,65.26,136.19,78.34,17.13,27.64,77.25,29.7,100.83,63.45,10.63,94.01,104.42
"ZFYVE19",1023,866.07,470.14,486.75,551.56,802.41,567.1,688.78,559.28,988.12,612.11,409.15,934.76
"NTRK1",10.79,3.89,16.51,17,11.04,4.06,2.03,9.13,8.25,7.63,2.68,8.45,19.11
"CCDC62",3.41,0.44,3.2,3.29,1.38,2.2,2.41,1.16,0.84,2.1,1.07,1.23,2.43
"HS3ST4",224.97,10.71,7.69,21.78,2.81,0,1.53,1.62,0.73,0,11.47,0,0
"SLC5A8",6.52,46.18,3.5,1,0.27,0,1.75,3.41,0.08,0,15.45,18.03,0
"WDR53",253.23,361.04,312,547.75,934.76,872.1,343.89,748.61,1073.91,536.45,909.17,368.65,463.65
"NLN",190.34,187.71,275.28,336.79,164.42,244.57,587.13,366.09,387.02,279.14,191.67,325.29,327.56
"TBC1D31",125.24,99.43,127,152.28,185.11,132.44,211.31,115.97,165.57,47.84,172.65,438.59,143.01
"NOXRED1",6.01,17.64,5.28,5.02,3.69,6.67,2.76,4.43,3.41,1.53,4.03,6.31,4.5
"ZNF597",20.11,43.02,57.89,34.51,36.79,3.17,24.46,5.96,27.64,34.51,35.76,7.28,28.24
"RNF114",2075.59,1407.55,1143.1,1359.57,1143.1,775.05,791.35,802.41,738.29,842.36,1096.5,684.02,791.35
"JOSD2",941.27,1119.56,1088.92,1088.92,1388.16,796.86,878.17,1001.93,813.63,1059.11,842.36,669.92,1104.13
"SFRP2",5791.62,2997.45,6337.83,5872.48,3081.75,2956.17,3060.45,2075.59,7911.95,2520.38,395.18,2209.26,4972.34
"PNMA2",41.81,44.57,31.9,107.38,6.89,12.74,36.79,21.16,23.08,14.35,4.21,32.82,17.51
"CDH10",0.24,2.43,1.38,0.67,0.22,0,0.85,0,0.27,1.79,0,1.68,0.29
"C1orf158",29.27,64.8,0.56,5.73,2.51,0.21,6.16,1.51,0,0,27.44,0,0
"HENMT1",791.35,120.94,100.83,195.72,124.37,100.13,212.78,191.67,67.12,14.89,244.57,139.07,320.8
"STX16",389.72,660.68,884.29,540.19,555.41,723.08,780.44,612.11,514.56,743.43,429.54,638.15,753.83
"PTX3",77.25,67.59,28.86,483.38,36.01,44.25,75.64,12.09,10,75.11,12.27,114.36,19.25
"BFAR",884.29,1059.11,1127.35,1397.83,819.3,733.19,1059.11,1081.39,981.29,836.53,819.3,785.88,909.17
"MEP1B",0.78,0,0,1.79,1.08,0.44,1.13,2.34,0,0,0.75,0.87,0
"SHROOM3",214.27,118.43,115.97,96.68,90.14,28.04,708.18,72.52,25.91,40.07,59.55,115.16,43.32
"NUP107",314.17,403.5,432.53,511,860.08,454.09,647.07,791.35,595.34,406.31,420.68,579.04,616.37
"HS6ST1",684.02,1397.83,1104.13,1268.46,559.28,1143.1,579.04,463.65,1191.69,438.59,928.3,483.38,612.11
"BRWD3",97.36,74.06,62.12,64.34,43.02,47.84,94.67,85.82,176.29,66.65,61.68,96.68,87.03
"FGF11",1037.29,101.54,128.79,132.44,620.67,651.58,79.45,525.39,223.41,713.11,101.54,146.03,884.29
"CCDC138",60.39,99.43,86.43,108.9,72.52,108.9,165.57,242.88,144.01,28.04,138.1,123.5,39.5
"FAM193B",320.8,753.83,848.22,599.49,656.11,409.15,368.65,679.29,679.29,713.11,323.03,819.3,967.76
"BATF",150.17,223.41,309.83,339.14,791.35,55.89,223.41,62.56,94.67,140.04,87.03,130.6,281.09
"COL4A2",1757.34,2434.5,4481.23,11664.82,1096.5,1651,3716.2,1242.34,4512.4,3847.29,429.54,2682.69,3280.18
"AGFG2",470.14,463.65,318.57,195.72,329.84,119.26,244.57,221.86,136.19,141.02,223.41,180.02,251.48
"TVP23B",1277.29,718.08,921.88,995,759.08,1096.5,830.75,1733.13,1143.1,1135.2,688.78,1216.75,884.29
"FBXO42",376.41,500.46,297.17,289.02,218.79,334.46,176.29,267.73,265.87,305.55,217.27,297.17,444.72
"NBEAL1",95.34,64.8,59.97,87.65,59.13,50.98,65.72,96.68,145.02,86.43,67.59,145.02,57.49
"BCL6",825,2627.46,1073.91,587.13,603.67,1259.69,358.54,1151.06,1617,753.83,995,1104.13,934.76
"DNAJC3",400.71,395.18,571.05,540.19,312,264.03,336.79,271.48,320.8,384.34,251.48,563.18,551.56
"C1orf233",99.43,81.14,115.97,111.99,248,307.69,80.01,170.25,275.28,256.78,43.63,38.95,248
"ADH6",4.03,12.55,5.41,5.54,6.21,4.21,6.16,11.91,15.22,0.96,7.4,36.53,3.59
"VPS13B",220.32,205.5,221.86,169.07,102.97,206.94,156.59,178.77,191.67,130.6,114.36,265.87,157.68
"ZMYM3",423.61,387.02,358.54,273.37,256.78,61.68,551.56,287.01,348.71,191.67,186.4,157.68,143.01
"SEMA3D",309.83,15.8,44.25,71.5,27.44,8,96.68,64.8,57.08,2.23,16.75,6.78,35.76
"ITGB6",132.44,728.11,426.57,1844.76,220.32,514.56,84.04,303.44,102.97,563.18,181.28,256.78,620.67
"RBM44",1.23,4.58,4.31,2.43,1.99,6.46,6.57,8.25,2.25,5.36,2.01,10.08,7.69
"CEACAM21",32.59,56.28,115.16,101.54,17.25,16.27,27.84,9.93,4.43,10,15,25.17,36.01
"ETV6",325.29,518.15,353.59,1769.57,759.08,155.5,258.57,329.84,281.09,301.33,244.57,281.09,463.65
"C1RL",703.28,896.64,928.3,1199.98,1059.11,620.67,536.45,1015.93,819.3,447.82,368.65,665.29,1167.14
"CCDC181",15.8,16.15,4.9,12.45,7.22,0.52,8.25,4.17,2.61,0.59,23.93,1.77,3.41
"GPN3",500.46,620.67,536.45,536.45,674.59,529.06,728.11,947.83,738.29,480.04,1023,764.36,660.68
"RAP1GAP",229.72,204.07,490.14,217.27,110.43,629.35,29.7,134.3,56.68,277.2,113.56,466.88,237.86
"MAGED2",5555.65,2976.74,2682.69,2351.53,2287.2,2367.9,2758.13,2609.3,2720.15,1781.89,1498.22,2555.58,2758.13
"C1orf85",1923.14,2119.22,2434.5,1909.85,3395.89,947.83,1295.13,1794.29,2163.77,1313.23,1127.35,1757.34,2400.97
"JRKL",96.68,201.25,108.9,226.54,94.01,162.14,223.41,127.89,191.67,78.89,111.21,262.2,150.17
"BHLHE40",4038.61,2047,3515.68,3467.27,1572.76,2664.15,1397.83,1977.24,1685.71,10733.74,1757.34,8963.45,4010.71
"NMUR1",0.66,9.78,7.69,6.16,2.36,1.66,49.91,1.35,4.03,0.4,1.22,4.78,12.09
"SPATA18",336.79,189.02,49.56,32.13,19.97,39.5,43.94,38.95,36.79,81.71,73.03,14.14,11.13
"NTPCR",1487.87,1487.87,1378.57,1745.2,2104.58,1457.23,1991,2271.4,1617,1216.75,2163.77,909.17,769.69
"CBWD3",84.04,111.99,103.69,64.34,146.03,154.42,127,271.48,154.42,141.02,138.1,77.25,56.68
"TLDC2",48.87,47.5,118.43,25.72,138.1,81.14,102.25,97.36,65.26,14.35,71.5,50.27,39.5
"C14orf119",1498.22,1697.45,1151.06,1167.14,1832.01,1963.57,1183.45,1745.2,2032.85,1561.89,2104.58,1936.53,1331.57
"GNAI2",3395.89,4419.52,7280.4,5913.33,4038.61,3168.41,4769.75,3146.52,3928.15,8658.09,2133.97,2935.74,5147.73
"MNDA",133.36,403.5,547.75,450.94,241.19,94.01,186.4,102.97,201.25,103.69,72.52,156.59,255
"RP11-347C12.3",46.18,54.72,54.33,43.94,40.93,17.25,21.32,18.84,16.15,13.52,12.93,62.12,42.11
"CLEC6A",1.03,0,4.7,4.1,2.78,0.41,1.87,0.42,2.32,1.28,1.19,1.43,0.75
"FCGR2A",785.88,884.29,2133.97,1467.37,591.22,529.06,1350.18,780.44,738.29,1427.22,457.25,733.19,1617
"REV1",414.87,830.75,423.61,339.14,483.38,366.09,387.02,540.19,551.56,269.6,392.44,395.18,435.55
"ECH1",5366.37,4736.79,3901.01,3928.15,5403.7,3928.15,2956.17,9673.69,5366.37,3168.41,5831.91,5995.9,3419.52
"ZNF491",7.34,12.74,10.79,5.73,4.9,9.06,10.16,13.72,8.38,7.22,6.46,4.62,27.84
"SEP15",5517.27,4671.57,4181.07,4123.49,5441.3,5517.27,4736.79,5292.48,2351.53,2682.69,7081.29,5594.3,5112.16
"LRRC24",58.71,13.03,24.63,23.42,7.34,46.84,17.25,26.1,13.72,8.58,7,72.01,27.44
"C1orf109",638.15,412,366.09,429.54,212.78,466.88,854.13,447.82,275.28,232.94,507.46,327.56,332.14
"GMFG",620.67,1059.11,1977.24,1397.83,1183.45,358.54,723.08,483.38,490.14,466.88,540.19,988.12,1369.04
"MAGEH1",343.89,309.83,551.56,397.93,363.56,381.68,358.54,633.73,460.44,178.77,575.03,224.97,336.79
"GMFB",486.75,466.88,397.93,521.76,389.72,387.02,480.04,551.56,299.25,483.38,423.61,559.28,309.83
"AC068987.1",15.56,5.54,1.43,7.69,5.87,8.38,3.89,3.08,9.06,6.11,10.31,1.38,4.9
"APOBEC3G",679.29,500.46,371.22,1250.98,1388.16,183.82,209.84,603.67,275.28,229.72,287.01,164.42,279.14
"SLC7A2",43.63,32.36,72.01,260.38,36.53,4.35,61.25,29.06,98.73,5.28,28.24,1008.9,76.71
"IQCH",36.53,33.06,25.35,25.91,18.03,59.97,52.82,67.12,11.55,27.64,30.78,5.82,24.28
"FAM83G",299.25,332.14,180.02,133.36,269.6,607.87,151.22,476.71,583.07,1397.83,177.53,244.57,299.25
"CCNA2",353.59,249.73,444.72,361.04,343.89,325.29,808,579.04,708.18,260.38,525.39,620.67,301.33
"PSMC1",2976.74,3349.13,2502.97,3039.3,4802.93,4972.34,3614.55,2777.33,3168.41,3257.52,3742.05,3467.27,2777.33
"TGIF1",1769.57,2193.99,2739.08,1437.15,1991,1340.84,3589.58,3589.58,947.83,1963.57,3928.15,4095,2796.65
"C18orf21",915.51,417.77,514.56,423.61,1991,587.13,536.45,551.56,309.83,368.65,830.75,420.68,486.75
"CD180",54.33,56.68,145.02,208.38,29.27,22.26,46.5,36.53,67.59,9.85,17.9,31.22,118.43
"TDRKH",264.03,102.25,131.51,665.29,115.97,46.84,289.02,157.68,39.79,112.77,47.5,137.14,202.66
"TXNDC15",878.17,603.67,1233.75,1674.06,836.53,607.87,988.12,836.53,813.63,791.35,669.92,688.78,1175.27
"RP11-849F2.7",3.82,2.56,1.87,1.55,2.73,3.66,3.17,4.7,6.62,2.66,1.53,3.56,2.25
"CTNNA3",12.18,0,5.06,0.72,0,2.25,0.27,0.62,0.31,1.08,0.27,0,0
"IPO5",854.13,723.08,1467.37,1208.34,785.88,785.88,1175.27,1051.79,1111.82,1167.14,934.76,2178.83,1277.29
"C8B",10,57.49,2.51,0,0,0,0,0,0,0,3.5,0.16,2.07
"CCL3L1",35.25,21.16,289.02,76.71,85.82,15.68,43.63,72.01,81.14,48.18,28.45,104.42,173.85
"ANKRD33B",1.27,1.87,5.5,33.54,7.4,6.41,0.67,1.03,2.68,2.89,1.22,2.73,0.78
"DGKD",387.02,167.9,287.01,146.03,102.97,141.02,460.44,226.54,164.42,165.57,85.22,603.67,147.06
"TMPO",620.67,791.35,961.07,1540.37,1369.04,688.78,1651,1561.89,1304.15,575.03,1662.49,1216.75,769.69
"LY86",95.34,208.38,486.75,251.48,114.36,37.32,126.12,111.99,132.44,67.12,76.17,108.14,242.88
"LDOC1",819.3,500.46,612.11,507.46,1295.13,713.11,884.29,954.43,819.3,1208.34,551.56,1208.34,417.77
"MAD2L1",423.61,289.02,518.15,429.54,620.67,329.84,1322.37,1208.34,660.68,249.73,813.63,503.95,223.41
"BHMT2",11.64,19.68,34.51,24.99,9.7,10.55,22.1,15.91,21.32,18.56,7.4,1697.45,14.78
"BAI1",5.63,17.9,17.77,100.13,17.77,46.18,2.1,21.16,9.34,8.06,2.05,5.73,12.74
"TOMM70A",579.04,555.41,684.02,808,438.59,603.67,1037.29,1066.48,713.11,591.22,1340.84,896.64,825
"MRI1",209.84,529.06,438.59,376.41,620.67,575.03,579.04,486.75,947.83,151.22,500.46,145.02,624.99
"ARAP1",1175.27,1605.83,2032.85,995,688.78,713.11,603.67,759.08,1135.2,3325.99,540.19,1769.57,1757.34
"DZIP1",142.01,64.8,194.36,158.79,231.32,127.89,215.77,133.36,214.27,59.97,115.97,74.06,116.78
"VDAC3",2573.36,2451.44,3820.7,2796.65,2520.38,4512.4,5076.84,4543.8,2739.08,1143.1,5479.15,3955.48,2335.28
"RBM42",1685.71,1467.37,1617,1605.83,2758.13,1388.16,1757.34,2061.24,2287.2,1583.71,1388.16,1909.85,1519.15
"MROH7-TTC4",1.13,3,5.73,2.25,0,8.38,2.23,1.2,2.05,2.23,1.43,2.1,3.96
"ZNF2",93.35,63.45,55.49,63.45,35.25,30.56,51.71,51.71,35.25,28.65,40.93,22.1,33.54
"ATP8B2",514.56,164.42,426.57,441.64,180.02,189.02,208.38,226.54,231.32,154.42,45.53,132.44,260.38
"MMADHC",2075.59,2319.15,1697.45,2468.49,1151.06,2895.31,2555.58,3303,2047,1832.01,3018.3,2434.5,1378.57
"SIK3",289.02,356.05,281.09,269.6,205.5,223.41,204.07,212.78,444.72,299.25,209.84,70.01,384.34
"GOLIM4",503.95,836.53,1233.75,941.27,890.44,1721.16,909.17,599.49,1628.26,318.57,1073.91,273.37,400.71
"FLJ20306",4.66,0.77,3.17,2.48,1.04,0.44,1.41,4.94,2.97,2.46,1.04,2.32,3.2
"TSHZ2",122.64,119.26,47.84,28.24,45.21,57.49,72.01,100.83,59.55,51.71,83.45,9.78,41.22
"ADAM11",5.68,3.76,34.51,8.13,11.55,5.54,17.9,21.63,16.39,3.41,7.34,1.39,7.94
"SPCS2",3018.3,3901.01,3349.13,4736.79,3212.66,3419.52,4575.41,4038.61,2682.69,2739.08,4210.15,6294.04,3901.01
"SNX18",249.73,224.97,264.03,181.28,100.83,102.97,183.82,185.11,152.28,116.78,159.9,193.01,281.09
"KIF17",29.27,29.48,59.97,38.95,18.56,34.75,17.51,10.24,13.32,23.59,18.29,31.45,21.16
"PARP11",183.82,157.68,142.01,379.04,163.28,120.1,90.77,182.55,189.02,67.12,107.38,53.95,96.68
"RAB42",166.73,142.01,220.32,239.52,120.1,57.08,90.77,59.55,63.89,35.25,35.5,353.59,129.69
"ACP6",314.17,460.44,307.69,392.44,525.39,178.77,193.01,836.53,146.03,141.02,183.82,343.89,334.46
"IL7",61.25,67.12,42.41,106.63,63.45,36.53,27.25,90.77,30.78,37.59,20.26,27.25,26.67
"RBPMS2",28.86,34.75,63.45,26.1,22.75,12.18,79.45,64.8,34.02,21.94,13.42,46.5,50.98
"AGTR2",3.86,177.53,11.13,3.89,0,0,0,55.1,3.69,0,0,47.5,0.19
"PLA2G4D",1.1,8.92,4.46,99.43,5.96,4.03,91.41,6.31,11.13,40.93,2.89,2.48,27.64
"ANKRD20A4",0,6.73,4.62,2.86,0.47,2.51,25.35,2.12,4.74,1.93,0.84,0.54,1
"MTDH",1015.93,921.88,981.29,1427.22,476.71,1331.57,1313.23,988.12,1059.11,860.08,1096.5,1551.09,1015.93
"MT-CYB",42641.37,47642.77,75280.1,26248.46,79572.48,92680.9,36864.92,46339.95,110983.6,129266.49,48982.22,239554.43,205673.01
"TRIP6",2855.44,2997.45,1709.26,1583.71,2468.49,1909.85,1081.39,1397.83,2209.26,1697.45,1857.6,332.14,1233.75
"CES1",543.96,1331.57,12943.04,780.44,3639.7,13681.08,26067.14,3325.99,743.43,28.45,1477.58,14361.31,1417.35
"CYSLTR1",69.03,36.27,33.06,69.03,11.91,7.46,19.25,12.93,18.16,10.08,15.34,21.78,20.71
"TBL1Y",0.61,2.66,3.08,14.45,0,7.17,17.25,21.94,0,4.17,0.3,0.68,0.37
"SH3BGRL",934.76,1572.76,2335.28,2303.12,1225.22,802.41,1088.92,1397.83,1950,961.07,954.43,688.78,909.17
"TAF15",1651,1883.54,2520.38,2178.83,2209.26,2119.22,3443.31,1781.89,3039.3,3146.52,1883.54,3018.3,1605.83
"NMU",7.46,223.41,120.94,31.22,143.01,236.21,423.61,255,165.57,336.79,2609.3,239.52,197.09
"IL17REL",2.16,1.6,4.78,70.01,10.24,0,1,1.68,1.1,0.46,0.68,0.78,0.82
"AC079354.1",16.03,23.59,1.43,3.92,0.34,0,4.31,2.48,0.41,0,25.17,0,0
"NPIPA1",435.55,1216.75,708.18,633.73,854.13,435.55,748.61,713.11,1427.22,353.59,500.46,718.08,1183.45
"DNAJA3",769.69,808,651.58,660.68,1088.92,3419.52,967.76,656.11,1167.14,679.29,2178.83,638.15,775.05
"TIAF1",120.94,156.59,181.28,201.25,165.57,73.54,126.12,125.24,114.36,293.07,89.51,363.56,162.14
"KAT5",813.63,1199.98,995,775.05,1119.56,1059.11,1030.12,612.11,713.11,684.02,941.27,1331.57,575.03
"CPNE9",1.73,1.45,6.21,8.99,3.26,0.3,1.99,0.3,4.31,0.35,0.27,0.65,3.66
"KIAA0895",177.53,51.71,94.67,57.89,71.5,65.72,125.24,197.09,53.57,40.64,75.64,143.01,25.91
"CHORDC1",463.65,583.07,435.55,500.46,603.67,819.3,660.68,928.3,791.35,289.02,591.22,1794.29,718.08
"IL26",0.85,0,3.06,1.75,5.5,0,0.56,0,0.61,0.67,2.2,1.28,0.66
"TLR10",27.84,11.82,19.39,65.26,11.55,5.5,4.54,5.19,5.73,2.51,13.42,5.45,11.82
"ELP3",305.55,521.76,314.17,587.13,176.29,591.22,363.56,194.36,470.14,334.46,262.2,842.36,368.65
"SLC38A11",5.87,2.66,1233.75,3.56,19.53,1.43,1277.29,115.16,8.51,0,5.63,2.43,2.53
"RIOK1",258.57,373.81,473.41,555.41,518.15,507.46,423.61,567.1,460.44,395.18,497,591.22,503.95
"HIBCH",356.05,500.46,244.57,414.87,244.57,271.48,339.14,198.47,624.99,264.03,423.61,387.02,353.59
"OGFOD1",500.46,665.29,769.69,518.15,514.56,878.17,669.92,764.36,884.29,559.28,503.95,346.29,339.14
"RRH",1.68,2.66,1.57,1.22,0,3.47,2.32,0,0.75,0,0.97,2.61,0.8
"ALDOB",8.13,4.31,3.44,5.11,0.92,2.41,2.29,1.71,1.39,1.08,1.91,6.89,0
"CSNK1G2",947.83,1183.45,1322.37,1088.92,1350.18,961.07,1044.52,878.17,2209.26,1467.37,981.29,674.59,1457.23
"ADIPOR2",738.29,769.69,1008.9,1304.15,785.88,961.07,819.3,2335.28,1508.65,1242.34,1551.09,1331.57,1304.15
"GNA14",102.25,84.63,33.78,40.07,7.4,4.39,83.45,28.86,13.93,5.77,27.44,51.35,23.08
"CCDC68",13.52,85.82,38.4,40.36,14.24,194.36,148.09,47.17,3.92,38.4,15.91,66.65,103.69
"ZNF564",42.41,143.01,100.83,108.9,62.12,57.49,88.88,92.7,96.68,33.54,76.17,41.81,63
"ANKRD6",244.57,323.03,161.02,214.27,125.24,178.77,262.2,153.34,87.03,57.49,142.01,49.56,173.85
"NDUFS3",2287.2,2351.53,2875.3,2303.12,2485.67,2835.7,2468.49,2835.7,2018.8,7857.29,3982.99,3039.3,1639.59
"EFCAB4B",82.87,126.12,60.82,55.89,101.54,98.73,72.01,201.25,30.12,47.17,48.18,18.16,19.39
"DLGAP1",60.39,17.9,12.27,23.08,21.32,13.42,941.27,53.95,4.5,1.48,34.51,3.92,2.23
"STRN",232.94,175.07,180.02,273.37,177.53,138.1,181.28,271.48,234.57,277.2,166.73,150.17,129.69
"SCARF2",226.54,155.5,438.59,312,77.79,162.14,135.24,111.21,285.03,141.02,30.12,133.36,253.23
"C5orf22",612.11,332.14,507.46,301.33,251.48,571.05,529.06,915.51,260.38,221.86,336.79,281.09,334.46
"PTPN2",525.39,902.89,848.22,780.44,1175.27,583.07,802.41,808,567.1,669.92,1498.22,1447.15,638.15
