"","CNV_20q","CNV_20p","CNV_Xq11.2","CNV_14q","CNV_17q24.3","CNV_7q36.3","CNV_12p","CNV_12q","CNV_7q","CNV_7p","CNV_9q","CNV_3p21.32","CNV_10p","CNV_10q","CNV_16p","CNV_16q","CNV_22q","CNV_1q","CNV_1p","CNV_14q31.1","CNV_3q26.32","CNV_8p23.2","CNV_3q","CNV_3p","CNV_5q","CNV_5p","CNV_1q43","CNV_Xq23","CNV_4q34.3","CNV_18q","CNV_8q24.22","CNV_1q24.1","CNV_2q37.3","CNV_17p","CNV_15q","CNV_9p21.3","CNV_21q","CNV_13q13.3","CNV_19q","CNV_19p","CNV_6q26","CNV_6p","CNV_6q","CNV_13q","CNV_Xp22.2","CNV_11q","CNV_11p","CNV_1q32.1","CNV_8p","CNV_8q","CNV_17q","CNV_3p25.3","CNV_5q35.1","CNV_Xq","CNV_2p","CNV_2q","CNV_1p36.23","CNV_1p31.1","CNV_10p14","CNV_4p","CNV_4q","CNV_4q32.1","CNV_10q23.31","CNV_9p23","CNV_3p12.2","CNV_3q11.2","CNV_Xp11.4","CNV_9p","CNV_18p"
"TCGA.CZ.5984",0.4,0.4,0.0026269,-0.391,-0.029584,0.38766,0.389,0.389,0.388,0.388,-0.393,-0.74794,0,0,0.378,0.378,0.292,0,0,-0.39129,0.41831,-0.052936,-0.33,-0.748,0.485,0.485,-0.012019,0.0026269,-0.051181,-0.144,0.052099,0.0036076,0,0,-0.394,-0.39286,0,-0.25854,0.323,0.323,-0.39174,-0.392,-0.392,-0.24,0.0044411,0,0,0.0036076,0,0,0,-0.49018,1.3288,0,0.382,0,0.0036076,0.0036076,0.051956,0,0,-0.051181,0.051956,-0.39286,-0.75645,0.41831,0.0026269,-0.393,-0.144
"TCGA.CZ.5985",0,0,-0.12252,-0.578,-0.01354,0,0,0,0,0,-0.58,-0.57397,0,0,0,0,0,0,0,-0.57812,0.012655,-0.00013862,0,-0.574,0,0,-0.01849,-0.12252,0.010424,-0.443,-0.00013862,-0.01849,-0.62765,0,0,-0.58038,0,0.0036076,0,0,-0.57664,0,0,0,-0.12252,0,0,-0.01849,0,0,0,-0.57397,0.55655,-0.123,0,0,-0.01849,-0.01849,-0.0015243,0,0,0.010424,0.0069435,-0.58038,-0.57397,-0.57397,-0.12252,-0.58,-0.443
"TCGA.CZ.5982",0,0,-0.064555,0,-0.024161,0.012886,0,0,0,0,0,-0.49176,-0.261,-0.261,-0.186,-0.186,0,0,0,-0.0028183,0.0043933,0,0,-0.492,0,0,0.037169,-0.064555,0.010934,0,0.0053661,0.00030049,0.0045322,0,0,-0.0062761,0,-0.020185,0,0,-0.48116,0,-0.479,0,-0.055811,0,0,0.02902,0,0,0,-0.49176,0.0062002,0,0,0,0.00030049,0.00030049,-0.26135,0,0,0.010934,-0.26135,-0.0062761,-0.49176,0.0043933,-0.064555,0,0
"TCGA.CZ.5988",0,0,-0.063156,0,-0.020687,0.98908,0,0,0,0,0,-0.53073,0,0,0,0,0,0,0,0,0.0051359,-0.5289,0,-0.5,0,0,-0.0052734,-0.063156,0.0038854,-0.508,-0.5289,-0.0037395,-0.52573,0,0,0.0066924,0,0.0023581,0,0,0.00087213,0,0,0,-0.046448,0,0,-0.0052734,-0.529,-0.529,0,-0.53073,-0.011611,0,0,0,-0.02384,0.0044805,-0.0018014,0,0,0.0038854,-0.0018014,0.0066924,-0.50784,0.0051359,-0.063156,0,-0.508
"TCGA.B8.5552",0,0,-0.0044312,0,0.0019418,-0.0028763,0,0,0,0,0,-0.39907,0,0,0,0,0,0,0,0,0.010006,-0.0013858,0,-0.394,0,0,-0.00013862,-0.0044312,0.0024969,0,-0.0013858,-0.00013862,-0.013402,0,0,0.0013868,0,0.00055459,0,0,0.0020805,0,0,0,-0.0044312,0,0,-0.00013862,0,0,0,-0.39907,0.39446,0,0,0,-0.00013862,-0.00013862,-0.0026322,0,0,0.0024969,-0.0026322,0.0013868,-0.39408,0.010006,-0.0044312,0,0
"TCGA.B0.5694",0,0,-0.010633,-0.164,0.014063,0.53362,0,0,0.534,0.534,-0.585,-0.59429,0,0,0,0,0,0,0,-0.16357,0.0023581,0.0012481,0,-0.594,0.55,0.55,0.0072217,-0.010633,-0.011029,0,-0.0040162,0.0072217,-0.0073339,0,0,-0.58508,0,-0.0013858,0,0,-0.0019399,0,0,0,-0.010633,0,0,0.0072217,0,0,0,-0.60592,0.54983,0,0,0,0.0072217,0.0072217,-0.0042929,0,0,-0.011029,0,-0.60011,-0.60033,0.0023581,-0.010633,-0.585,0
"TCGA.B0.5691",0,0,0.0022197,0,-0.0062286,0.0013868,0,0,0,0,0,0.0031248,0,0,0,0,0,0,0,0.0019418,0.0071076,-0.00070805,0,0,0,0,0,0.0037465,-0.45179,0,0.00097064,0,0.0030522,0,0,-0.0012473,0,-0.0013858,0,0,0.0070826,0,0,0,0.0022197,0,0,0,0,0,0,-0.46028,0.44071,0,0,0,0,0,-0.0019399,0,0,-0.45179,0.0027745,-0.0012473,0.0065262,0.0081646,0.0022197,0,0
"TCGA.B0.5690",0,0,0.0084743,0,-0.00069303,-0.0073006,0,0,0,0,0,-0.4786,0,0,0,0,0,0,0,0.0016642,0.45461,0.013492,0,-0.471,0,0,0.00041593,0.0084743,-0.006505,0,-0.00075879,0.00041593,0,0,0,0.003191,0,0.44179,0,0,0.00083792,0,0,0.442,0.0084743,0,0,0.00041593,0,0,0,-0.48481,-0.0023553,0,0,0,0.00041593,0.00041593,-0.010646,0,0,-0.006505,-0.010646,0.003191,-0.0071958,-0.0071958,0.0084743,0,0
"TCGA.B0.5699",0,0,-0.036538,0,-0.014228,-0.033051,0,0,0,0,0,-0.72187,0,0,0,0,0,0,0,-0.0020784,0.020203,0,0,-0.712,0,0,-0.0033243,-0.036538,-0.71328,0,0,-0.0033243,-0.0086165,0,0,-0.00091716,0,-0.0011285,0,0,0.01433,0,0,0,-0.036538,0,0,-0.0033243,0,0,0,-0.72187,0.0062481,0,0,0,-0.0033243,-0.0033243,-0.0123,0,0,0.049398,-0.0123,-0.00091716,-0.71158,-0.71158,-0.036538,0,0
"TCGA.CZ.5454",0,0,0.076422,0,-0.010094,0.77715,0,0,0.776,0.776,0,-0.79549,0.758,0,0.755,0,0,0,0,0.0023581,0.0076392,-0.011611,0,0,0,0,-0.0025192,0.069095,-0.0018014,0,-0.011611,0.78543,0.0036076,0,0,0.00016427,0,0.001803,0,0,-0.0011087,0,0,0,0.067375,0,0,-0.0025192,0,0,0,-0.79151,0.78678,0,0,0,0.0012481,0.0012481,0.75777,0,0,-0.0018014,-0.0080244,0.00016427,0.0076392,0.0076392,0.065799,0,0
"TCGA.CZ.5455",0,0,-0.036327,-0.518,-0.0076101,-0.005814,0,0,0,0,0,-0.5244,0,0,0,0,0,0,0,-0.51818,0.026092,0.022164,0,-0.524,0,0,0.00056805,-0.036327,-0.0044741,0,0.022164,0.0041632,0.012795,0,0,-0.0020039,0,-0.50484,0,0,0.0056919,0,0,-0.505,-0.036327,0,0,0.00056805,0,0,0,-0.5244,0.52072,0,0,0,-0.0099728,-0.0099728,-0.0056757,0,0,-0.0044741,-0.0056757,0.012716,0.026092,0.026092,-0.036327,0,0
"TCGA.CZ.5457",0,0,-0.08297,0,0,0.35381,-0.35,-0.35,0.354,0.354,0.375,-0.3511,-0.357,-0.357,0.29,-0.06,-0.362,-0.353,-0.353,0.010982,-0.3511,-0.35909,-0.351,-0.351,0.375,0.375,-0.3527,-0.082137,-0.34744,0,-0.35909,-0.3527,0.32576,0,-0.345,0.37545,-0.36,-0.34859,0.32,0.32,0.016565,0,0,-0.349,-0.08297,0,0,-0.3527,-0.359,-0.359,0,-0.3511,0.35683,0,0.326,0.326,-0.3527,-0.3527,-0.35681,-0.347,-0.347,-0.34744,-0.35681,0.37545,-0.3511,-0.3511,-0.08297,0.375,0
"TCGA.B2.5641",0,0,-0.089093,-0.441,-0.011611,0.00013863,0,0,0,0,-0.215,-0.43724,-0.221,-0.221,0,0,0,0,0,-0.44067,0.011958,0.0076392,0,-0.433,0,0,-0.0019399,-0.089093,0.008892,-0.422,0.0076392,-0.0019399,-0.44178,0,0,-0.21342,0,0.010146,0,0,-0.44386,0,-0.443,0,-0.089093,-0.215,-0.215,-0.0019399,0,0,0,-0.43724,0.44545,0,0,0,-0.17674,-0.0019399,-0.22145,0,0,0.008892,-0.22145,-0.21342,-0.43982,-0.43982,-0.089093,-0.215,-0.422
"TCGA.CZ.5452",0,0,-0.026059,-0.31,-0.0044312,-0.0048461,0,0,0,0,-0.177,-0.26775,0,0,0,0,0,0.139,0.139,-0.31048,-0.22133,0,-0.268,-0.268,0.143,0.143,0.13865,-0.019863,0.0076392,0,0,0.13865,0.0087528,0,0,0.0084743,0,0.0012481,0,0,-0.31287,-0.19,-0.19,0,-0.026059,0,0,0.13865,0,0,0,-0.26775,0.1431,0,0,0,0.13865,0.13865,-0.0071958,0,0,0.0076392,-0.0071958,0.0084743,-0.26775,-0.26775,-0.026059,0,0
"TCGA.CZ.5453",0,0,-0.078416,0,-0.032319,0.0055477,0,0,0,0.778,0,-0.7853,0,0,0,0,0,0,0,0,0.029742,-0.78951,0,-0.785,0,0,-0.0092718,-0.078416,0.02314,0,0.012371,-0.0092718,-0.78606,0,0,-0.016572,0,0.019357,0,0,0.003047,0,0,0,-0.088909,0,0,-0.0092718,-0.79,-0.79,0,-0.7853,0.25698,0,0,0,-0.0092718,-0.0092718,-0.0083056,0,0,0.02314,-0.0083056,-0.016572,-0.7853,-0.7853,-0.078416,0,0
"TCGA.B8.5549",0,0,-0.14541,0,0.053039,0.097106,0,0,0,0,-0.642,-0.64762,-0.277,-0.277,0,0,0,-0.265,-0.265,0,0.118,-0.3282,0.118,-0.53,0.129,0.129,-0.26865,-0.14541,-0.25164,-0.242,-0.28037,-0.26865,-0.64302,0,-0.275,-0.6418,0,-0.25902,0,0,0.11584,0.116,0.116,-0.259,-0.14541,0,0,-0.26865,-0.281,-0.281,0,-0.64762,0.15696,-0.145,0,0,-0.2978,-0.26535,-0.27739,-0.261,-0.261,-0.25164,-0.27739,-0.6418,-0.64762,-0.64762,-0.14541,-0.642,-0.242
"TCGA.CZ.4864",0,0,-0.051403,-0.585,0.024408,-0.012576,0,0,0,0,0,-0.58647,0,0,0,0,0,0,0,-0.5853,-0.58748,-0.011335,-0.586,-0.586,0.557,0.557,0.0069435,-0.066096,-0.0045695,0,-0.011335,0.0069435,0.0093098,0,0,0.0020805,0,-0.010784,0,0,-0.59944,0,0,0,-0.045364,0,0,0.0069435,0,0,0,-0.58647,0.56632,0,0,0,-0.56495,0.0069435,-0.0012473,0,0,-0.0045695,-0.0012473,0.0020805,-0.58647,-0.58647,-0.047063,0,0
"TCGA.CZ.4865",0,0,-0.024114,0.135,-0.015604,0.0013868,0,0,0,0,0,-0.40374,0,0,0,0,0,0,0,0.13509,0.0026357,-0.4055,-0.404,-0.404,0,0,0,-0.024114,0.0098669,0,0.0013868,0,0.010564,0,0,-0.0015243,0,0.00027728,0,0,-0.026304,0,0,0,-0.024114,0,0,0,-0.406,0,0,-0.40374,0.01419,0,0,0,-0.010892,-0.010892,-0.0078863,0,0,0.0072217,-0.0078863,-0.0015243,-0.40639,0.0026357,-0.024114,0,0
"TCGA.CZ.4863",0,0,-0.025237,-0.323,0.013743,-0.0077763,0,0,0,0,0,-0.10621,0,0,0,0,0,0,0,-0.32524,-0.10621,-0.06869,-0.106,-0.106,0.126,0.126,0.0037182,-0.027367,-0.0016911,-0.119,-0.06869,-0.053687,0.010053,0,0,0.016257,0,-0.10213,0,0,0,0,0,-0.102,-0.025237,0,0,0.0037182,0,0,0,-0.10621,0.12576,0,0,0,-0.053687,-0.053687,-0.0040444,0,0,-0.0016911,-0.0040444,0.016257,-0.10621,-0.10621,-0.025237,0,-0.119
