"","TCGA.22.5478","TCGA.22.5472","TCGA.60.2709","TCGA.22.5489","TCGA.22.5471","TCGA.22.5482","TCGA.22.5483","TCGA.43.3394","TCGA.34.7107","TCGA.43.6771","TCGA.22.5491","TCGA.33.6737","TCGA.90.6837"
"GPR116",128.79,607.87,314.17,241.19,45.21,53.19,151.22,183.82,154.42,121.79,49.91,414.87,129.69
"HYAL1",50.27,202.66,130.6,63.89,68.55,169.07,51.71,135.24,126.12,19.53,289.02,182.55,125.24
"CCDC69",323.03,346.29,457.25,450.94,163.28,59.55,180.02,138.1,162.14,223.41,148.09,309.83,251.48
"NDNF",57.49,493.56,221.86,70.01,7.34,11.47,34.26,132.44,35.5,10.96,10.31,273.37,47.84
"FOLR1",242.88,1277.29,698.41,356.05,9.63,10.47,23.76,563.18,66.18,10.63,193.01,995,58.3
