"","Fold.change","Gene"
"298",0.0140912390913117,"ZNF212"
"299",0.0432098082194017,"THNSL2"
"300",0.507715381750278,"GSG1"
"301",0.0344188362740416,"HNRNPA1L2"
"302",0.0359771262750126,"ALG5"
"304",0.0353509952026325,"OTUD4"
"305",0.50720512308404,"POP7"
"306",0.484516018882184,"CIT"
"308",0.463136076534188,"CAD"
"310",0.372308608583034,"HLCS"
"311",0.411392378412737,"C15orf40"
"313",0.276097506290352,"HSCB"
"314",0.141948194819721,"STRA13"
"315",0.200962068330186,"CREB3"
"316",0.415916235309872,"TMEM241"
"317",0.3836774029323,"ETFB"
"318",0.324479745264538,"UPP1"
"319",0.0950647979058701,"KDM5A"
"320",0.0733834716659869,"BRPF1"
"322",0.541359993299825,"NIPAL2"
"327",0.176724137101241,"CENPB"
"328",0.0355069925181777,"SPAG8"
"329",0.152075675204466,"TRMT11"
"332",0.352284704090392,"AKT1S1"
"333",0.476319923011332,"MAOA"
"334",0.386949374988985,"TM9SF3"
"335",0.318725888980651,"LNPEP"
"337",0.131386017060986,"CCDC93"
"339",0.00735582794682976,"TRIB2"
"340",0.191271586860316,"PCDHB4"
"342",0.372744188711332,"HBS1L"
"343",0.00957647770268188,"DUS4L"
"344",0.407996076323868,"AMER1"
"345",0.488241881837781,"MYRF"
"346",0.543779345037703,"C9orf41"
"348",0.170811537191625,"FAM170B"
"350",0.369640737721627,"TMEM160"
"352",0.29748131371286,"NFE2"
"355",0.36609062080163,"ILK"
"358",0.0787431374406351,"C6orf99"
"359",0.535179092822229,"RELL2"
"361",0.457883927808286,"RUFY3"
"363",0.00807388079089311,"ZNF689"
"364",0.240668141607908,"ZNF747"
"368",0.178570815859612,"TOX4"
"369",0.067391940570305,"ACTR6"
"371",0.145289994057232,"HS3ST3A1"
"372",0.21037390159179,"TSEN54"
"374",0.116075011026695,"ACTL6A"
"375",0.27252539537149,"PGS1"
"377",0.114980933446091,"TP53TG5"
"378",0.18945965077218,"ZNF227"
"380",0.0193799800549854,"VPS4A"
"381",0.386433928405179,"MGAT4A"
"383",0.548501381900735,"CACNA1C"
"384",0.340451976736098,"RUNDC3A"
"387",0.0124435626017121,"SZRD1"
"388",0.156719424078377,"TRAPPC12"
"392",0.29073567854735,"EFCAB11"
"393",0.175533211560563,"SUPT4H1"
"394",0.208124908975405,"ZNF414"
"395",0.23714403378672,"ACAP2"
"396",0.0707443028894055,"RPA3"
"397",0.0696402366354132,"LONRF3"
"401",0.34205432638084,"PTPN20A"
"407",0.142018982989306,"GTDC1"
"410",0.2753503659891,"PIGO"
"413",0.493674748868291,"OR2AE1"
"417",0.505231723920287,"BBS2"
"418",0.045478440218484,"FBXL14"
"419",0.273092743398527,"ALS2CR11"
"421",0.279151146176334,"UBAP1"
"422",0.363451505580814,"PTK2B"
"423",0.123831227405485,"ANAPC1"
"424",0.476330814820395,"MROH1"
"425",0.451227455900238,"BLOC1S6"
"426",0.342265645371393,"FLII"
"428",0.28763902598555,"NBEAL2"
"429",0.23342161648061,"ZFY"
"430",0.417687866144017,"CCDC132"
"431",0.500038331020157,"CD2AP"
"432",0.0125909003156961,"METTL18"
"436",0.280384599441989,"C19orf55"
"437",0.475412990325083,"ANKHD1-EIF4EBP3"
"442",0.314015534942115,"KANK3"
"444",0.0896647503940731,"WHSC1"
"445",0.0310352516608905,"TSPAN14"
"446",0.0699030527877031,"MRPL28"
"447",0.0148681843378355,"LCMT1"
"448",0.465028966768928,"LSM4"
"449",0.304375195791833,"MTRF1L"
"450",0.324741355392167,"SOS1"
"452",0.224731749982066,"RP11-12J10.3"
"453",0.135036083815672,"ST3GAL3"
"454",0.0156351582738186,"PIN1"
"455",0.215944584098947,"USP39"
"459",0.242467090468677,"RAN"
"461",0.511800564798397,"RPS6KB2"
"462",0.565510094274716,"ABHD12B"
"466",0.246174715730694,"ILF2"
"469",0.0240759565266977,"CDKN2AIPNL"
"470",0.284987646680349,"H3F3A"
"471",0.220828509926825,"CBWD1"
"472",0.0424355348945751,"IRAK4"
"473",0.376158837798015,"EXOG"
"476",0.224545924529977,"SNRNP25"
"478",0.530305467352195,"CKS2"
"479",0.382575092077174,"KIAA1143"
"480",0.486576079119859,"RXFP1"
"481",0.0360849946494763,"KAT5"
"483",0.0684518542755912,"GCC1"
"484",0.0626153311009272,"TRAM2"
"486",0.153374924791988,"PACS1"
"490",0.437216696806621,"PPP2R5E"
"491",0.156450898454944,"ARMC1"
"493",0.430901286963763,"TJAP1"
"496",0.386980825670525,"RANGAP1"
